Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
Neural Systems Memory and Aging,NSMA,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Nursing,NURS,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
ORGANIZATION ADVANCEMENT & UNIV PARTN,OAUP,Acad Initiatives Stdt Success,N,STDA,C,COLLEGE,0,0,0,0,0,0
DEAN'S OFFICE,OFC,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
General Counsel Division,OGCD,Legal Affairs,Y,VOGC,C,COLLEGE,0,0,0,0,0,0
Academic Inits & Stdnt Success,OLDL,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
James C Wyant Coll Optical Sci,OPSC,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
UA Assoc Students Bookstore,OTDT,Facilities,Y,FCLT,C,COLLEGE,0,0,0,0,0,0
Ofc of Global Initiatives Div,OTDV,VP Office of Global Init,Y,OTRC,C,COLLEGE,0,0,0,0,0,0
VP Office of Global Init,OTRC,Sr VP Acad Affairs and Provost,Y,PVST,V,VP LEVEL,0,0,0,0,0,0
KIM OWCZARSKI,OWCZ,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PBB1540,PB40,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Phx Biomed Campus Facility Div,PBCF,Facilities,Y,FCLT,C,COLLEGE,0,0,0,0,0,0
College of Public Health,PBHL,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
UA PACS Managers,PCMG,Procurement & Contracting Svcs,Y,7801,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PCARD RECONCILER GROUPS,PCRD,Procurement & Contracting Svcs,Y,7801,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Planning Design & Construction,PDCN,Facilities,Y,FCLT,C,COLLEGE,0,0,0,0,0,0
HOMER PETTEY,PETT,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Pharmacy,PHRM,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
PHOTOGRAPHY,PHTO,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Pinal1541,PI41,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Package Funded by Banner,PKBA,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Package Funded by UAHS,PKHS,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PROPERTY MANAGEMENT GROUP MANAGEMENT,PMGM,FINANCIAL SERVICES OFC-CAPITAL FINANCE,Y,7710,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PAINT,PNT,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Poetry Center,POET,Humanities Administration,Y,0427,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Postdoctoral Affairs,POST,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Div of Secretary of the Univ,PRDV,Secretary of the University,Y,VCOS,C,COLLEGE,0,0,0,0,0,0
Exec Ofc of the President Div,PREO,Units of the President,Y,PRUN,C,COLLEGE,0,0,0,0,0,0
Parking and Transportation,PRKG,Facilities,Y,FCLT,C,COLLEGE,0,0,0,0,0,0
PRINTMAKING,PRNT,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Proteomics,PROT,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PROPS,PRP,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SVP Health Sciences,PRSA,Arizona Health Sciences,Y,AHSC,E,EXECUTIVE LEVEL,0,0,0,0,0,0
President,PRSM,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
PRESIDENT,PRST,Main Campus,N,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
Units of the President,PRUN,President,Y,PRSM,V,VP LEVEL,0,0,0,0,0,0
Shuttles,PT10,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Car Share,PT11,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Disabled Cart Service,PT12,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Bicycle Programs,PT13,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Dispatch,PT14,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Grants,PT15,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Phoenix Biomedical Campus,PT16,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Visitor Programs,PT17,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PAINTING AND DRAWING,PTDR,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Shared Garage Cashiers,PTS1,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Field Maintenance,PTS2,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Customer Relations,PTS3,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Enforcement,PTS4,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Information Technology,PTS5,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Alternative Transportation,PTS6,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Shared Garage Field,PTS7,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Special Events,PTS8,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Marketing,PTS9,Parking and Transportation,Y,9804,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
President's Units Health Affairs,PUHA,SVP Health Sciences,N,PRSA,V,VP LEVEL,0,0,0,0,0,0
Sr VP Acad Affairs and Provost,PVST,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
Phoenix Administration,PXAD,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Breast Team,PXBR,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Other Phoenix Commitment,PXCM,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Cutaneous Oncology Team,PXCO,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
CROC Funded IITs - Phoenix,PXCR,Cancer Center Phoenix Campus,N,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Phoenix Clinical Trials,PXCT,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Gastrointestinal Team,PXGI,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Phoenix Biomedical Campus,PXGN,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
UACC PHX CTO Genitourinary Team,PXGU,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Gynecology Team,PXGY,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Head and Neck Team,PXHN,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Precision Medicine Team,PXPR,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Phoenix Research,PXRE,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Phoenix Startup Fund,PXST,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC PHX CTO Thoracic Team,PXTH,Cancer Center Phoenix Campus,Y,721P,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Use as default in Acct Conversion,R010,University,N,UNAZ,O,OFFICIAL ORG,0,0,0,0,0,0
RDI Centers & Institutes,RCTI,Vice President for Research,Y,RSCH,C,COLLEGE,0,0,0,0,0,0
Research Development Services,RDS,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Research Development Fund,REDV,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PI Restricted Gift,REGF,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
RENTALS,RENT,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Research Operation Support,REOP,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Rural Health Office,RHO,Public Health Administration,Y,4201,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
"Research, Innovation & Impact",RII,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PATRICK RODDY,RODD,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DOT ROOME,ROOM,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Vice President for Research,RSCH,SVP Research & Innovation,Y,SRCH,V,VP LEVEL,0,0,0,0,0,0
RDI Research Infrastructure,RSDV,Vice President for Research,Y,RSCH,C,COLLEGE,0,0,0,0,0,0
Risk Management and Safety Div,RSKM,VP for Business Affairs and HR,Y,HMNR,C,COLLEGE,0,0,0,0,0,0
Housing & Residential Life,RSLF,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
MEDICATION MANAGEMENT THERAPY,RX09,PHARMACY - 1901 RESTRICTED,Y,RXR1,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PHARMACY-EXPERIENTIAL EDUCATION,RXEE,PHARMACY - 1905 OPERATING,Y,RXO5,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PHARMACY - 1901 OPERATING,RXO1,Pharmacy Administration,Y,1901,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1902 OPERATING,RXO2,Pharmaceutical Sciences,Y,1902,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1903 OPERATING,RXO3,Pharmacology and Toxicology,Y,1903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1904 OPERATING,RXO4,Center for Phytomedicine Rsch,Y,1904,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1905 OPERATING,RXO5,Pharmacy Practice and Science,Y,1905,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1906 OPERATING,RXO6,HOPE Center,Y,1906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1907 OPERATING,RXO7,Center for Toxicology,Y,1907,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1908 OPERATING,RXO8,Poison Control Center,Y,1908,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY-PHOENIX,RXPX,PHARMACY - 1905 OPERATING,Y,RXO5,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
PHARMACY - 1901 RESTRICTED,RXR1,Pharmacy Administration,Y,1901,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1902 RESTRICTED,RXR2,Pharmaceutical Sciences,Y,1902,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1903 RESTRICTED,RXR3,Pharmacology and Toxicology,Y,1903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1904 RESTRICTED,RXR4,Center for Phytomedicine Rsch,Y,1904,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1905 RESTRICTED,RXR5,Pharmacy Practice and Science,Y,1905,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1906 RESTRICTED,RXR6,HOPE Center,Y,1906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY - 1907 RESTRICTED,RXR7,Center for Toxicology,Y,1907,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PHARMACY 1908 RESTRICTED,RXR8,Poison Control Center,Y,1908,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Strategic Business Initiatives,SBI,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Social & Behav Sci,SBSC,Colleges of Letters Arts & Sci,Y,CLAS,C,COLLEGE,2,0,0,0,0,0
SantaCruz1542,SC42,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SCULPTURE,SCLP,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SCENE,SCN,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Science,SCNC,Colleges of Letters Arts & Sci,Y,CLAS,C,COLLEGE,0,0,0,0,0,0
STUDENT SERVICES,SDNT,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SPECIAL EVENTS,SE,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BEVERLY SECKINGER,SECK,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
STEVIE ELLER DANCE THEATRE,SEDT,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BARBARA SELZNICK,SELZ,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
STUDENT ENGAGEMENT & SUCCESS,SESC,Acad Initiatives Stdt Success,N,STDA,C,COLLEGE,0,0,0,0,0,0
Intercollegiate Athletics,SICA,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
Skin Cancer Institute,SKIN,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
LISANNE SKYLER,SKY,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Student Learng Acad Partnershp,SLAP,Acad Initiatives Stdt Success,N,STDA,C,COLLEGE,0,0,0,0,0,0
Campus Health and Wellness,SLHW,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
Student Learning Services Admin,SLS1,Student Learning Services,Y,8908,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CATS Academics,SLS2,Student Learning Services,Y,8908,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Testing Office,SLS3,Student Learning Services,Y,8908,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Think Tank,SLS4,Student Learning Services,Y,8908,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Apache1511,SN11,Apache County Office,Y,1511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cochise1522,SN22,Cochise County Office,Y,1522,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SNAP1523,SN23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Graham1535,SN35,Graham County Office,Y,1535,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Greenlee1536,SN36,Greenlee County Office,Y,1536,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Mohave1538,SN38,Mohave County Office,Y,1538,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Navajo1539,SN39,Navajo County Office,Y,1539,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PBB1540,SN40,Pima County Office,Y,1540,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Pinal1541,SN41,Pinal County Office,Y,1541,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SantaCruz1542,SN42,Santa Cruz County Office,Y,1542,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Yavapai1543,SN43,Yavapai County Office,Y,1543,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
LaPaz1545,SN45,La Paz County Office,Y,1545,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SOUND,SND,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Social Development,SOCD,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SVP Legal Affrs & Gen Counsel,SOGC,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
STEWARD IR SPECIAL PROJECTS,SP1,Steward Observatory,Y,0404,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SPS HOLDING ACCOUNT,SPHA,Spon Projs & Contrg Svcs,Y,9001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SPONSORED PROJECTS SERVICES TEAM 1,SPS1,Spon Projs & Contrg Svcs,Y,9001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SPONSORED PROJECTS SERVICES TEAM 2,SPS2,Spon Projs & Contrg Svcs,Y,9001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SPONSORED PROJECTS SERVICES TEAM 3,SPS3,Spon Projs & Contrg Svcs,Y,9001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SPONSORED PROJECTS SERVICES TEAM 4,SPS4,Spon Projs & Contrg Svcs,Y,9001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Sr VP Business Affairs and CFO,SRBU,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
SVP Research & Innovation,SRCH,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
PI Startup Fund,STAR,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
TAR STUDIES,STD,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Acad Initiatives Stdt Success,STDA,Sr VP Acad Affairs and Provost,Y,PVST,V,VP LEVEL,0,0,0,0,0,0
Student Affrs & Enrl Mgmt,STDV,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
STUDENT SERVICES,STSR,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Stud Success Retention Innov,STTS,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
STUDENT SERVICES,STUD,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Student Unions,STUN,Facilities,Y,FCLT,C,COLLEGE,0,0,0,0,0,0
Development,SUAF,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
SVP & Chief Mrktg & Comm Ofcr,SVCM,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
SVP & Secretary of the Univ,SVPS,Main Campus,Y,MAIN,E,EXECUTIVE LEVEL,0,0,0,0,0,0
Southwest Climate Adaptation Science Ctr,SWCA,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Tissue Acquisition & Cellular/Molecular,TACM,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Translational BioImaging Resource,TBIR,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Tech Parks Division,TCHP,Tech Parks,Y,TPRK,C,COLLEGE,0,0,0,0,0,0
FINE ARTS TECHNOLOGY,TECH,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
VP Tech Launch Arizona,TLAR,SVP Research & Innovation,Y,SRCH,V,VP LEVEL,0,0,0,0,0,0
Tech Launch Arizona,TLAZ,VP Tech Launch Arizona,Y,TLAR,C,COLLEGE,0,0,0,0,0,0
Tech Parks,TPRK,SVP Research & Innovation,Y,SRCH,V,VP LEVEL,0,0,0,0,0,0
Tumamoc Hill,TUMA,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Development Office Division,UAFN,VP Development,Y,VUAF,C,COLLEGE,0,0,0,0,0,0
University of Arizona Genetics Core,UAGC,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UA Outreach College,UAOC,VP Office of Global Init,N,OTRC,C,COLLEGE,0,0,0,0,0,0
UA Presents Division,UAPS,VP Arizona Arts,Y,UART,C,COLLEGE,0,0,0,0,0,0
UA PRESENTS,UAPT,Academic Affairs Provost,N,AAPV,C,COLLEGE,0,0,0,0,0,0
VP Arizona Arts,UART,Sr VP Acad Affairs and Provost,Y,PVST,V,VP LEVEL,0,0,0,0,0,0
College of Applied Sci & Tech,UAZS,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Udall Center,UC,Udall Center,Y,0436,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
REGIONAL DEVELOPMENT,UDP1,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ANNUAL GIVING,UDP2,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
GIFT CENTER,UDP3,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DEVELOPMENT RESEARCH AND RESOURCES,UDP4,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
RECORDS,UDP5,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
STEWARDSHIP,UDP6,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
HR AND TALENT MANAGEMENT,UDP7,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MARKETING AND COMMUNICATIONS,UDP8,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FINANCIAL SERVICES,UDP9,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MAIN CAMPUS,UDPC,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Univ Info Tech Services Div,UITS,Chief Information Officer,Y,CIOF,C,COLLEGE,1,0,0,0,0,0
University,UNAZ,University,Y,UNAZ,U,UNIVERSITY,7,0,0,0,0,0
University,UNAZ,University,Y,UNAZ,Q,COMBINE CAMPUSES,7,0,0,0,0,0
Secretary of the University,VCOS,SVP & Secretary of the Univ,Y,SVPS,O,OFFICIAL ORG,0,0,0,0,0,0
VP Financial Services,VFIN,Sr VP Business Affairs and CFO,Y,SRBU,V,VP LEVEL,0,0,0,0,0,0
Administration and Athletics,VICA,Intercollegiate Athletics,Y,SICA,V,VP LEVEL,0,0,0,0,0,0
VISUAL COMMUNICATIONS,VISC,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Legal Affairs,VOGC,SVP Legal Affrs & Gen Counsel,Y,SOGC,V,VP LEVEL,0,0,0,0,0,0
VISUAL RESOURCE CENTER,VRC,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Veterinary Medicine,VTMD,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
VP Development,VUAF,Development,Y,SUAF,V,VP LEVEL,0,0,0,0,0,0
MYouth1537,YO37,Maricopa County Office,Y,1537,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
